address,categories,id,lat,long,name,neighborhood
2 Massachusetts Ave NE (North Capitol St NE),History Museum,4b09a487f964a520de1a23e3,38.89771724526776,-77.00829148292542,National Postal Museum,Downtown East
641 D St NW (btwn 6th & 7th St NW),Theater,4a6c6da2f964a52086d01fe3,38.89493040759938,-77.02136188745499,Woolly Mammoth Theatre Company,Downtown East
6th St and Constitution Ave NW (at Constitution Ave NW),Art Museum,4e440746b3ad4263a203aab8,38.89135015228416,-77.01988935470581,National Gallery of Art,Downtown East
Constitution Ave NW (at Madison Dr NW),Art Museum,4a4a42cef964a5209eab1fe3,38.891333450961845,-77.01995372772217,National Gallery of Art - West Building,Downtown East
401 7th St NW (at D St NW),Mexican Restaurant,4a667bf9f964a520a4c81fe3,38.89491996979955,-77.02171862125395,Oyamel Cocina Mexicana,Downtown East
"Washington, D.C. 20001",Performing Arts Venue,4fe608c3e4b05d1edbfd5350,38.8912951163119,-77.01703271316978,East Building Auditorium - National Gallery Of Art,Downtown East
413 7th St NW (at D St NW),Ice Cream Shop,4bf6cefc5efe2d7f90ca6734,38.89518508943976,-77.02171593904495,Pitango Gelato,Downtown East
601 F St NW (at 7th St NW),Basketball Stadium,446d8fa5f964a52067331fe3,38.89817674879205,-77.02081647117853,Capital One Arena,Downtown East
601 F St NW (at 7th),Salon / Barbershop,4a8dcbeff964a520e91020e3,38.89734496855647,-77.02157577325032,Bang Salon,Downtown East
2000 Pennsylvania Avenue (see Twitter for current location),Food Truck,4fc8e616e4b03339a6a04422,38.897856674909505,-77.00919551175222,Captain Cookie and the Milk Man,Downtown East
120 F St NW (New Jersey),Gym / Fitness Center,4c81300bdc018cfacb36c36c,38.89708378384621,-77.01298435362239,Sport & Fitness Center,Downtown East
475 H St NW (btwn 4th & 5th St NW),Coffee Shop,4a6f01d0f964a5202dd51fe3,38.899998406672545,-77.01866564861298,Chinatown Coffee Company,Downtown East
705 6th St NW,Japanese Restaurant,580d476738fa69fff46fc06f,38.898577168652864,-77.01986527730847,Izakaya,Downtown East
480 7th St NW (at E St NW),Tapas Restaurant,4a6e4e04f964a52074d41fe3,38.89591364146447,-77.02216386795044,Jaleo,Downtown East
